GOGC,Mallocs,Frees,HeapAlloc,HeapSys,HeapReleased,NextGC,LastGC,PauseTotalNs,NumGC,NumForcedGC,GCCPUFraction,TotalTimeExecution
25,5859,4008,733528,3538944,1286144,1329904,1736968925011983702,309994,9,5,0.06,3
25,8582,6641,797008,3538944,1630208,1328848,1736968925015256519,421974,12,6,0.06,3
25,11301,9543,615376,3506176,1245184,1333976,1736968925018992525,493263,15,7,0.05,3
25,14015,12116,742264,7700480,5529600,1334112,1736968925022717180,629872,18,8,0.05,5
25,16731,15029,545640,7700480,5349376,1350992,1736968925030100322,720048,21,9,0.05,5
25,19453,17638,643224,7667712,5128192,1317360,1736968925033496251,790791,24,10,0.05,3
25,22170,20294,694560,7634944,5537792,1352736,1736968925037253024,875590,27,11,0.05,5
25,24883,23201,487744,7634944,5660672,1357280,1736968925044427896,1136774,30,12,0.05,4
25,27597,25759,645120,7634944,5316608,1365752,1736968925047561895,1245283,33,13,0.05,3
25,30313,28408,697000,7634944,5439488,1354344,1736968925053830262,1459420,36,14,0.05,6
50,5844,4109,605576,7700480,5120000,2097152,1736968925280001478,232366,7,5,0.04,3
50,8566,6874,568576,7700480,5144576,2097152,1736968925283460754,284332,9,6,0.04,3
50,11284,9588,561216,7700480,5185536,2097152,1736968925286993236,327942,11,7,0.04,3
50,13996,12222,623456,7700480,5013504,2097152,1736968925290191087,431963,13,8,0.04,3
50,16706,14995,566880,7700480,4661248,2097152,1736968925293857903,499650,15,9,0.04,2
50,19418,17705,556936,7700480,4898816,2097152,1736968925297363790,557451,17,10,0.04,3
50,22129,20450,502800,7700480,4579328,2097152,1736968925301066524,620302,19,11,0.04,3
50,24839,23098,576352,7700480,4841472,2097152,1736968925303891616,705666,21,12,0.04,3
50,27551,25878,484776,7700480,4972544,2097152,1736968925309278620,884524,23,13,0.04,4
50,30263,28449,623072,7700480,4964352,2097152,1736968925312209025,931578,25,14,0.04,3
100,5852,2831,1866968,7766016,5054464,4194304,1736968925464853965,139249,5,5,0.04,3
100,8570,5532,1871232,7766016,4612096,4194304,1736968925468077737,186802,6,6,0.03,2
100,11282,8237,1873888,7700480,4431872,4194304,1736968925471010613,209853,7,7,0.03,2
100,14002,10937,1878104,7700480,4186112,4194304,1736968925474012854,253781,8,8,0.03,2
100,16723,13641,1883264,7700480,4153344,4194304,1736968925476942612,279210,9,9,0.02,3
100,19438,16347,1884808,7700480,4186112,4194304,1736968925481051885,302025,10,10,0.02,3
100,22150,19051,1885616,7667712,4186112,4194304,1736968925485230711,340763,11,11,0.02,2
100,24869,21755,1889656,7667712,4186112,4194304,1736968925487692128,393829,12,12,0.02,2
100,27581,24459,1890464,7667712,4186112,4194304,1736968925490242240,425165,13,13,0.02,4
100,30292,27164,1890952,7667712,4096000,4194304,1736968925495394943,463670,14,14,0.02,3
200,5853,2836,1866208,3538944,892928,8388608,1736968925669244166,133023,5,5,0.03,3
200,8562,5537,1868360,7733248,4202496,8388608,1736968925672639744,192390,6,6,0.03,2
200,11269,8237,1868776,7733248,3948544,8388608,1736968925675815947,210845,7,7,0.02,3
200,13989,10937,1873600,7667712,3620864,8388608,1736968925680249248,470375,8,8,0.04,3
200,16712,13641,1878984,7634944,4399104,8388608,1736968925684186269,509187,9,9,0.03,4
200,19427,16346,1881040,7634944,4366336,8388608,1736968925688515300,528691,10,10,0.03,6
200,22140,19050,1882784,7634944,4194304,8388608,1736968925696742941,576435,11,11,0.02,4
200,24851,21755,1882664,7634944,4194304,8388608,1736968925702408212,603939,12,12,0.02,7
200,27557,24459,1882520,7634944,4784128,8388608,1736968925712343308,652149,13,13,0.02,5
200,30268,27159,1883456,7634944,4775936,8388608,1736968925722704248,688284,14,14,0.02,5
